SourceName,DateAccessed,ParentLocation,Location,Period,Dim1,FactValueNumeric
WHO,10/17/2023 10:01,Africa,Mali,2000,Female,52.75
WHO,10/17/2023 10:01,Africa,Mozambique,2019,Both sexes,58.14
WHO,10/17/2023 10:01,Africa,Mozambique,2019,Male,54.46
WHO,10/17/2023 10:01,Africa,Mozambique,2019,Female,61.73
WHO,10/17/2023 10:01,Africa,Mozambique,2015,Both sexes,55.95
WHO,10/17/2023 10:01,Africa,Mozambique,2015,Male,52.42
WHO,10/17/2023 10:01,Africa,Mozambique,2015,Female,59.45
WHO,10/17/2023 10:01,Africa,Mozambique,2010,Both sexes,53.48
WHO,10/17/2023 10:01,Africa,Mozambique,2010,Male,50.66
WHO,10/17/2023 10:01,Africa,Mozambique,2010,Female,56.29
WHO,10/17/2023 10:01,Africa,Mozambique,2000,Both sexes,50.69
WHO,10/17/2023 10:01,Africa,Mozambique,2000,Male,48.37
WHO,10/17/2023 10:01,Africa,Mozambique,2000,Female,53.05
WHO,10/17/2023 10:01,Africa,Mauritania,2019,Both sexes,68.38
WHO,10/17/2023 10:01,Africa,Mauritania,2019,Male,68.08
WHO,10/17/2023 10:01,Africa,Mauritania,2019,Female,68.73
WHO,10/17/2023 10:01,Africa,Mauritania,2015,Both sexes,67.41
WHO,10/17/2023 10:01,Africa,Mauritania,2015,Male,67.19
WHO,10/17/2023 10:01,Africa,Mauritania,2015,Female,67.69
WHO,10/17/2023 10:01,Africa,Mauritania,2010,Both sexes,65.59
WHO,10/17/2023 10:01,Africa,Mauritania,2010,Male,65.4
WHO,10/17/2023 10:01,Africa,Mauritania,2010,Female,65.87
WHO,10/17/2023 10:01,Africa,Mauritania,2000,Both sexes,61.96
WHO,10/17/2023 10:01,Africa,Mauritania,2000,Male,61.75
WHO,10/17/2023 10:01,Africa,Mauritania,2000,Female,62.23
WHO,10/17/2023 10:01,Africa,Mauritius,2019,Both sexes,74.07
WHO,10/17/2023 10:01,Africa,Mauritius,2019,Male,70.95
WHO,10/17/2023 10:01,Africa,Mauritius,2019,Female,77.32
WHO,10/17/2023 10:01,Africa,Mauritius,2015,Both sexes,74.14
WHO,10/17/2023 10:01,Africa,Mauritius,2015,Male,70.96
WHO,10/17/2023 10:01,Africa,Mauritius,2015,Female,77.43
WHO,10/17/2023 10:01,Africa,Mauritius,2010,Both sexes,73.24
WHO,10/17/2023 10:01,Africa,Mauritius,2010,Male,69.84
WHO,10/17/2023 10:01,Africa,Mauritius,2010,Female,76.8
WHO,10/17/2023 10:01,Africa,Mauritius,2000,Both sexes,71.17
WHO,10/17/2023 10:01,Africa,Mauritius,2000,Male,67.74
WHO,10/17/2023 10:01,Africa,Mauritius,2000,Female,74.8
WHO,10/17/2023 10:01,Africa,Malawi,2019,Both sexes,65.62
WHO,10/17/2023 10:01,Africa,Malawi,2019,Male,62.31
WHO,10/17/2023 10:01,Africa,Malawi,2019,Female,68.93
WHO,10/17/2023 10:01,Africa,Malawi,2015,Both sexes,63.04
WHO,10/17/2023 10:01,Africa,Malawi,2015,Male,59.67
WHO,10/17/2023 10:01,Africa,Malawi,2015,Female,66.47
WHO,10/17/2023 10:01,Africa,Malawi,2010,Both sexes,56.8
WHO,10/17/2023 10:01,Africa,Malawi,2010,Male,54.38
WHO,10/17/2023 10:01,Africa,Malawi,2010,Female,59.24
WHO,10/17/2023 10:01,Africa,Malawi,2000,Both sexes,44.73
WHO,10/17/2023 10:01,Africa,Malawi,2000,Male,43.96
WHO,10/17/2023 10:01,Africa,Malawi,2000,Female,45.59
WHO,10/17/2023 10:01,Africa,Namibia,2019,Both sexes,64.58
WHO,10/17/2023 10:01,Africa,Namibia,2019,Male,60.58
WHO,10/17/2023 10:01,Africa,Namibia,2019,Female,68.45
WHO,10/17/2023 10:01,Africa,Namibia,2015,Both sexes,62.87
WHO,10/17/2023 10:01,Africa,Namibia,2015,Male,59.36
WHO,10/17/2023 10:01,Africa,Namibia,2015,Female,66.22
WHO,10/17/2023 10:01,Africa,Namibia,2010,Both sexes,60.94
WHO,10/17/2023 10:01,Africa,Namibia,2010,Male,57.25
WHO,10/17/2023 10:01,Africa,Namibia,2010,Female,64.66
WHO,10/17/2023 10:01,Africa,Namibia,2000,Both sexes,53.32
WHO,10/17/2023 10:01,Africa,Namibia,2000,Male,51.01
WHO,10/17/2023 10:01,Africa,Namibia,2000,Female,55.5
WHO,10/17/2023 10:01,Africa,Niger,2019,Both sexes,63.29
WHO,10/17/2023 10:01,Africa,Niger,2019,Male,62.06
WHO,10/17/2023 10:01,Africa,Niger,2019,Female,64.56
WHO,10/17/2023 10:01,Africa,Niger,2015,Both sexes,61.54
WHO,10/17/2023 10:01,Africa,Niger,2015,Male,60.28
WHO,10/17/2023 10:01,Africa,Niger,2015,Female,62.86
WHO,10/17/2023 10:01,Africa,Niger,2010,Both sexes,58.95
WHO,10/17/2023 10:01,Africa,Niger,2010,Male,57.77
WHO,10/17/2023 10:01,Africa,Niger,2010,Female,60.19
